election,election_id,precinct,registered,cast,democrat,republican
"March 3rd, 2020 Joint Primary",1,3088,3569,983,511,472
"March 3rd, 2020 Joint Primary",1,3089,4345,1301,515,786
"March 3rd, 2020 Joint Primary",1,3090,3160,844,465,379
"March 3rd, 2020 Joint Primary",1,3091,870,316,131,185
"March 3rd, 2020 Joint Primary",1,3092,2607,886,373,513
"March 3rd, 2020 Joint Primary",1,3093,4500,1251,647,604
"March 3rd, 2020 Joint Primary",1,3094,3598,1030,553,477
"March 3rd, 2020 Joint Primary",1,3095,3130,522,399,123
"March 3rd, 2020 Joint Primary",1,3096,3094,855,472,383
"March 3rd, 2020 Joint Primary",1,3097,6,3,0,3
"March 3rd, 2020 Joint Primary",1,3098,1273,443,238,205
"March 3rd, 2020 Joint Primary",1,3099,3403,868,523,345
"March 3rd, 2020 Joint Primary",1,3100,3297,742,474,268
"March 3rd, 2020 Joint Primary",1,3101,2590,760,456,304
"March 3rd, 2020 Joint Primary",1,3102,3084,905,498,407
"March 3rd, 2020 Joint Primary",1,3103,765,128,98,30
"March 3rd, 2020 Joint Primary",1,3104,2617,902,469,433
"March 3rd, 2020 Joint Primary",1,3105,3377,748,420,328
"March 3rd, 2020 Joint Primary",1,3106,1631,541,241,300
"March 3rd, 2020 Joint Primary",1,3107,1684,439,326,113
"March 3rd, 2020 Joint Primary",1,3108,1503,484,241,243
"March 3rd, 2020 Joint Primary",1,3109,3256,700,463,237
"March 3rd, 2020 Joint Primary",1,3110,3012,751,462,289
"March 3rd, 2020 Joint Primary",1,3111,0,0,0,0
"March 3rd, 2020 Joint Primary",1,3112,1629,343,266,77
"March 3rd, 2020 Joint Primary",1,3113,1149,219,162,57
"March 3rd, 2020 Joint Primary",1,3114,2295,721,324,397
"March 3rd, 2020 Joint Primary",1,3115,1786,780,424,356
"March 3rd, 2020 Joint Primary",1,3116,1521,477,310,167
"March 3rd, 2020 Joint Primary",1,3117,3007,1052,539,513
"March 3rd, 2020 Joint Primary",1,3118,1005,314,196,118
"March 3rd, 2020 Joint Primary",1,3119,3864,1005,631,374
"March 3rd, 2020 Joint Primary",1,3120,3339,774,494,280
"March 3rd, 2020 Joint Primary",1,3121,4552,1026,596,430
"March 3rd, 2020 Joint Primary",1,3122,2365,624,385,239
"March 3rd, 2020 Joint Primary",1,3123,755,125,53,72
"March 3rd, 2020 Joint Primary",1,3124,3687,773,437,336
"March 3rd, 2020 Joint Primary",1,3125,3526,801,419,382
"March 3rd, 2020 Joint Primary",1,3126,1708,485,272,213
"March 3rd, 2020 Joint Primary",1,3127,3637,879,588,291
"March 3rd, 2020 Joint Primary",1,3128,55,25,13,12
"March 3rd, 2020 Joint Primary",1,3129,3300,819,573,246
"March 3rd, 2020 Joint Primary",1,3130,1814,627,293,334
"March 3rd, 2020 Joint Primary",1,3131,2,1,0,1
"March 3rd, 2020 Joint Primary",1,3132,1591,269,214,55
"March 3rd, 2020 Joint Primary",1,3133,0,0,0,0
"March 3rd, 2020 Joint Primary",1,3134,3189,595,459,136
"March 3rd, 2020 Joint Primary",1,3135,946,267,182,85
"March 3rd, 2020 Joint Primary",1,3136,479,181,110,71
"March 3rd, 2020 Joint Primary",1,3137,4877,984,586,398
"March 3rd, 2020 Joint Primary",1,3138,55,15,3,12
"March 3rd, 2020 Joint Primary",1,3139,1579,374,254,120
"March 3rd, 2020 Joint Primary",1,3140,407,100,71,29
"March 3rd, 2020 Joint Primary",1,3141,1547,388,255,133
"March 3rd, 2020 Joint Primary",1,3142,471,76,57,19
"March 3rd, 2020 Joint Primary",1,3143,1535,439,278,161
"March 3rd, 2020 Joint Primary",1,3144,316,112,72,40
"March 3rd, 2020 Joint Primary",1,3145,3266,876,494,382
"March 3rd, 2020 Joint Primary",1,3146,3427,923,678,245
"March 3rd, 2020 Joint Primary",1,3147,2467,739,501,238
"March 3rd, 2020 Joint Primary",1,3148,1280,316,155,161
"March 3rd, 2020 Joint Primary",1,3149,4220,497,465,32
"March 3rd, 2020 Joint Primary",1,3150,36,9,6,3
"March 3rd, 2020 Joint Primary",1,3151,2948,750,416,334
"March 3rd, 2020 Joint Primary",1,3152,1820,353,271,82
"March 3rd, 2020 Joint Primary",1,3153,1516,441,253,188
"March 3rd, 2020 Joint Primary",1,3154,1681,570,278,292
"March 3rd, 2020 Joint Primary",1,3155,2870,711,389,322
"March 3rd, 2020 Joint Primary",1,3156,13,5,3,2
"March 3rd, 2020 Joint Primary",1,3157,2627,878,493,385
"March 3rd, 2020 Joint Primary",1,3158,60,22,13,9
"March 3rd, 2020 Joint Primary",1,3159,2479,486,309,177
"March 3rd, 2020 Joint Primary",1,3160,1623,397,214,183
"March 3rd, 2020 Joint Primary",1,3161,2780,635,433,202
"March 3rd, 2020 Joint Primary",1,3162,1257,314,203,111
"March 3rd, 2020 Joint Primary",1,3163,2578,750,385,365
"March 3rd, 2020 Joint Primary",1,3164,2003,497,264,233
"March 3rd, 2020 Joint Primary",1,3165,3696,1001,569,432
"March 3rd, 2020 Joint Primary",1,3166,518,180,122,58
"March 3rd, 2020 Joint Primary",1,3167,13,2,1,1
"March 3rd, 2020 Joint Primary",1,3168,541,140,92,48
"March 3rd, 2020 Joint Primary",1,3169,145,42,20,22
"March 3rd, 2020 Joint Primary",1,3170,0,0,0,0
"March 3rd, 2020 Joint Primary",1,3171,0,0,0,0
"March 3rd, 2020 Joint Primary",1,3172,576,137,102,35
"March 3rd, 2020 Joint Primary",1,3173,3518,886,500,386
"March 3rd, 2020 Joint Primary",1,3174,3966,1067,586,481
"March 3rd, 2020 Joint Primary",1,3175,616,209,132,77
"March 3rd, 2020 Joint Primary",1,3176,34,21,14,7
"March 3rd, 2020 Joint Primary",1,3177,0,0,0,0
"March 3rd, 2020 Joint Primary",1,3178,0,0,0,0
"March 3rd, 2020 Joint Primary",1,3179,0,0,0,0
"March 3rd, 2020 Joint Primary",1,3180,1113,333,217,116
"March 3rd, 2020 Joint Primary",1,3181,2130,652,334,318
"March 3rd, 2020 Joint Primary",1,3182,761,276,169,107
"March 3rd, 2020 Joint Primary",1,3183,14,3,0,3
"March 3rd, 2020 Joint Primary",1,3184,261,39,25,14
"March 3rd, 2020 Joint Primary",1,3185,263,65,44,21
"March 3rd, 2020 Joint Primary",1,3186,0,0,0,0
"March 3rd, 2020 Joint Primary",1,3187,0,0,0,0
"March 3rd, 2020 Joint Primary",1,3188,0,0,0,0
"March 3rd, 2020 Joint Primary",1,3189,1078,284,199,85
"March 3rd, 2020 Joint Primary",1,3190,413,70,51,19
"March 3rd, 2020 Joint Primary",1,3191,213,52,24,28
"March 3rd, 2020 Joint Primary",1,3192,0,0,0,0
"March 3rd, 2020 Joint Primary",1,3193,204,53,31,22
"March 3rd, 2020 Joint Primary",1,3194,3769,777,410,367
"March 3rd, 2020 Joint Primary",1,3195,2576,418,332,86
"March 3rd, 2020 Joint Primary",1,3196,12,1,0,1
"March 3rd, 2020 Joint Primary",1,3197,0,0,0,0
"March 3rd, 2020 Joint Primary",1,3198,708,182,105,77
"March 3rd, 2020 Joint Primary",1,3199,3411,695,363,332
"March 3rd, 2020 Joint Primary",1,3200,0,0,0,0
"March 3rd, 2020 Joint Primary",1,3201,4091,941,432,509
"March 3rd, 2020 Joint Primary",1,3202,1045,220,130,90
"March 3rd, 2020 Joint Primary",1,3203,473,125,60,65
"March 3rd, 2020 Joint Primary",1,3204,0,0,0,0
"March 3rd, 2020 Joint Primary",1,3205,0,0,0,0
"March 3rd, 2020 Joint Primary",1,3206,173,41,35,6
"March 3rd, 2020 Joint Primary",1,3207,5,1,1,0
"March 3rd, 2020 Joint Primary",1,3208,92,27,26,1
"March 3rd, 2020 Joint Primary",1,3209,708,231,118,113
"March 3rd, 2020 Joint Primary",1,3210,2338,599,413,186
"March 3rd, 2020 Joint Primary",1,4001,2838,825,704,121
"March 3rd, 2020 Joint Primary",1,4002,1036,140,125,15
"March 3rd, 2020 Joint Primary",1,4003,1401,239,214,25
"March 3rd, 2020 Joint Primary",1,4004,1077,288,244,44
"March 3rd, 2020 Joint Primary",1,4005,1761,400,367,33
"March 3rd, 2020 Joint Primary",1,4006,685,159,142,17
"March 3rd, 2020 Joint Primary",1,4007,1726,114,78,36
"March 3rd, 2020 Joint Primary",1,4008,677,230,160,70
"March 3rd, 2020 Joint Primary",1,4009,1068,141,121,20
"March 3rd, 2020 Joint Primary",1,4010,1416,198,179,19
"March 3rd, 2020 Joint Primary",1,4011,1504,241,221,20
"March 3rd, 2020 Joint Primary",1,4012,930,120,106,14
"March 3rd, 2020 Joint Primary",1,4013,970,172,146,26
"March 3rd, 2020 Joint Primary",1,4014,466,83,75,8
"March 3rd, 2020 Joint Primary",1,4015,1799,437,395,42
"March 3rd, 2020 Joint Primary",1,4016,2339,532,446,86
"March 3rd, 2020 Joint Primary",1,4017,2303,638,576,62
"March 3rd, 2020 Joint Primary",1,4018,1013,448,398,50
"March 3rd, 2020 Joint Primary",1,4019,2804,466,372,94
"March 3rd, 2020 Joint Primary",1,4020,1358,219,167,52
"March 3rd, 2020 Joint Primary",1,4021,1149,224,160,64
"March 3rd, 2020 Joint Primary",1,4022,268,29,18,11
"March 3rd, 2020 Joint Primary",1,4023,2345,554,395,159
"March 3rd, 2020 Joint Primary",1,4024,2792,596,446,150
"March 3rd, 2020 Joint Primary",1,4025,1294,236,186,50
"March 3rd, 2020 Joint Primary",1,4026,3580,613,500,113
"March 3rd, 2020 Joint Primary",1,4027,1589,381,311,70
"March 3rd, 2020 Joint Primary",1,4028,2325,641,564,77
"March 3rd, 2020 Joint Primary",1,4029,2409,398,362,36
"March 3rd, 2020 Joint Primary",1,4030,413,57,57,0
"March 3rd, 2020 Joint Primary",1,4031,1914,326,269,57
"March 3rd, 2020 Joint Primary",1,4032,1727,389,295,94
"March 3rd, 2020 Joint Primary",1,4033,3212,699,537,162
"March 3rd, 2020 Joint Primary",1,4034,1740,379,276,103
"March 3rd, 2020 Joint Primary",1,4035,29,12,7,5
"March 3rd, 2020 Joint Primary",1,4036,2616,637,564,73
"March 3rd, 2020 Joint Primary",1,4037,1882,265,239,26
"March 3rd, 2020 Joint Primary",1,4038,2870,935,722,213
"March 3rd, 2020 Joint Primary",1,4039,1411,236,226,10
"March 3rd, 2020 Joint Primary",1,4040,1209,274,246,28
"March 3rd, 2020 Joint Primary",1,4041,2028,411,381,30
"March 3rd, 2020 Joint Primary",1,4042,162,36,30,6
"March 3rd, 2020 Joint Primary",1,4043,2989,527,393,134
"March 3rd, 2020 Joint Primary",1,4044,1386,266,189,77
"March 3rd, 2020 Joint Primary",1,4045,2454,551,404,147
"March 3rd, 2020 Joint Primary",1,4046,2542,779,466,313
"March 3rd, 2020 Joint Primary",1,4047,2830,505,373,132
"March 3rd, 2020 Joint Primary",1,4048,1915,381,322,59
"March 3rd, 2020 Joint Primary",1,4049,2504,393,294,99
"March 3rd, 2020 Joint Primary",1,4050,1618,425,250,175
"March 3rd, 2020 Joint Primary",1,4051,1778,522,291,231
"March 3rd, 2020 Joint Primary",1,4052,2206,581,338,243
"March 3rd, 2020 Joint Primary",1,4053,2116,397,282,115
"March 3rd, 2020 Joint Primary",1,4054,3650,718,478,240
"March 3rd, 2020 Joint Primary",1,4055,1498,300,179,121
"March 3rd, 2020 Joint Primary",1,4056,3224,595,356,239
"March 3rd, 2020 Joint Primary",1,4057,1677,532,277,255
"March 3rd, 2020 Joint Primary",1,4058,2023,407,187,220
"March 3rd, 2020 Joint Primary",1,4059,2332,464,313,151
"March 3rd, 2020 Joint Primary",1,4060,2080,377,264,113
"March 3rd, 2020 Joint Primary",1,4061,2634,380,279,101
"March 3rd, 2020 Joint Primary",1,4062,693,137,97,40
"March 3rd, 2020 Joint Primary",1,4063,1103,142,106,36
"March 3rd, 2020 Joint Primary",1,4064,2387,507,302,205
"March 3rd, 2020 Joint Primary",1,4065,4313,622,496,126
"March 3rd, 2020 Joint Primary",1,4066,3307,625,470,155
"March 3rd, 2020 Joint Primary",1,4067,1978,251,166,85
"March 3rd, 2020 Joint Primary",1,4068,537,117,90,27
"March 3rd, 2020 Joint Primary",1,4069,953,302,146,156
"March 3rd, 2020 Joint Primary",1,4070,3059,734,582,152
"March 3rd, 2020 Joint Primary",1,4071,1490,397,106,291
"March 3rd, 2020 Joint Primary",1,4072,2947,680,268,412
"March 3rd, 2020 Joint Primary",1,4073,1709,320,190,130
"March 3rd, 2020 Joint Primary",1,4074,2239,356,206,150
"March 3rd, 2020 Joint Primary",1,4075,655,143,126,17
"March 3rd, 2020 Joint Primary",1,4076,3358,462,343,119
"March 3rd, 2020 Joint Primary",1,4077,3170,606,427,179
"March 3rd, 2020 Joint Primary",1,4078,1325,287,105,182
"March 3rd, 2020 Joint Primary",1,4079,1613,309,170,139
"March 3rd, 2020 Joint Primary",1,4080,2302,377,249,128
"March 3rd, 2020 Joint Primary",1,4081,751,58,29,29
"March 3rd, 2020 Joint Primary",1,4082,1949,254,221,33
"March 3rd, 2020 Joint Primary",1,4083,807,121,86,35
"March 3rd, 2020 Joint Primary",1,4084,551,99,84,15
"March 3rd, 2020 Joint Primary",1,4085,59,9,3,6
"March 3rd, 2020 Joint Primary",1,4086,528,87,42,45
"March 3rd, 2020 Joint Primary",1,4087,1955,557,414,143
"March 3rd, 2020 Joint Primary",1,4088,3781,727,559,168
"March 3rd, 2020 Joint Primary",1,4089,3174,620,438,182
"March 3rd, 2020 Joint Primary",1,4090,2235,381,241,140
"March 3rd, 2020 Joint Primary",1,4091,956,250,193,57
"March 3rd, 2020 Joint Primary",1,4092,1738,416,237,179
"March 3rd, 2020 Joint Primary",1,4093,2651,494,328,166
"March 3rd, 2020 Joint Primary",1,4094,1880,455,271,184
"March 3rd, 2020 Joint Primary",1,4095,1669,407,254,153
"March 3rd, 2020 Joint Primary",1,4096,2702,443,313,130
"March 3rd, 2020 Joint Primary",1,4097,2035,299,193,106
"March 3rd, 2020 Joint Primary",1,4098,1713,286,180,106
"March 3rd, 2020 Joint Primary",1,4099,1281,229,148,81
"March 3rd, 2020 Joint Primary",1,4100,923,184,139,45
"March 3rd, 2020 Joint Primary",1,4101,1130,197,104,93
"March 3rd, 2020 Joint Primary",1,4102,933,103,80,23
"March 3rd, 2020 Joint Primary",1,4103,0,0,0,0
"March 3rd, 2020 Joint Primary",1,4104,2043,333,211,122
"March 3rd, 2020 Joint Primary",1,4105,1937,407,225,182
"March 3rd, 2020 Joint Primary",1,4106,607,71,54,17
"March 3rd, 2020 Joint Primary",1,4107,1172,307,196,111
"March 3rd, 2020 Joint Primary",1,4108,3611,692,442,250
"March 3rd, 2020 Joint Primary",1,4109,1116,144,104,40
"March 3rd, 2020 Joint Primary",1,4110,1134,354,316,38
"March 3rd, 2020 Joint Primary",1,4111,439,31,29,2
"March 3rd, 2020 Joint Primary",1,4112,769,318,177,141
"March 3rd, 2020 Joint Primary",1,4113,881,176,148,28
"March 3rd, 2020 Joint Primary",1,4114,80,4,4,0
"March 3rd, 2020 Joint Primary",1,4115,191,55,28,27
"March 3rd, 2020 Joint Primary",1,4116,42,18,9,9
"March 3rd, 2020 Joint Primary",1,4117,523,157,104,53
"March 3rd, 2020 Joint Primary",1,4118,82,19,6,13
"March 3rd, 2020 Joint Primary",1,4119,624,175,143,32
"March 3rd, 2020 Joint Primary",1,4120,218,42,36,6
"March 3rd, 2020 Joint Primary",1,4121,212,40,21,19
"March 3rd, 2020 Joint Primary",1,4122,63,29,27,2
"March 3rd, 2020 Joint Primary",1,4123,145,37,30,7
"March 3rd, 2020 Joint Primary",1,4124,2262,325,273,52
"March 3rd, 2020 Joint Primary",1,4125,99,13,11,2
"March 3rd, 2020 Joint Primary",1,4126,1589,324,167,157
"March 3rd, 2020 Joint Primary",1,4127,81,5,5,0
"March 3rd, 2020 Joint Primary",1,4128,146,49,37,12
"March 3rd, 2020 Joint Primary",1,4129,131,26,13,13
"March 3rd, 2020 Joint Primary",1,4130,761,132,89,43
"March 3rd, 2020 Joint Primary",1,4131,400,55,41,14
"March 3rd, 2020 Joint Primary",1,4132,2390,447,319,128
"March 3rd, 2020 Joint Primary",1,4133,35,4,1,3
"March 3rd, 2020 Joint Primary",1,4134,5,0,0,0
"March 3rd, 2020 Joint Primary",1,4135,0,0,0,0
"March 3rd, 2020 Joint Primary",1,4136,597,114,56,58
"March 3rd, 2020 Joint Primary",1,4137,113,27,7,20
"March 3rd, 2020 Joint Primary",1,4138,0,0,0,0
"March 3rd, 2020 Joint Primary",1,4139,0,2,2,0
"March 3rd, 2020 Joint Primary",1,4140,0,0,0,0
"March 3rd, 2020 Joint Primary",1,4141,438,36,30,6
"March 3rd, 2020 Joint Primary",1,4142,802,93,83,10
"March 3rd, 2020 Joint Primary",1,4143,4190,706,596,110
"March 3rd, 2020 Joint Primary",1,4144,506,117,60,57
"March 3rd, 2020 Joint Primary",1,4145,10,2,2,0
"March 3rd, 2020 Joint Primary",1,4146,44,7,5,2
"March 3rd, 2020 Joint Primary",1,4147,312,98,73,25
"March 3rd, 2020 Joint Primary",1,4148,153,36,25,11
"March 3rd, 2020 Joint Primary",1,4149,540,70,58,12
"March 3rd, 2020 Joint Primary",1,4150,1677,317,246,71
"March 3rd, 2020 Joint Primary",1,4151,543,127,42,85
"March 3rd, 2020 Joint Primary",1,4152,2110,373,268,105
"March 3rd, 2020 Joint Primary",1,4153,110,23,13,10
"March 3rd, 2020 Joint Primary",1,4154,761,154,105,49
"March 3rd, 2020 Joint Primary",1,4155,2400,810,715,95
"March 3rd, 2020 Joint Primary",1,4156,1142,204,161,43
"March 3rd, 2020 Joint Primary",1,4157,1728,469,418,51
"March 3rd, 2020 Joint Primary",1,4158,534,56,39,17
"March 3rd, 2020 Joint Primary",1,4159,26,6,3,3
"March 3rd, 2020 Joint Primary",1,4160,1920,315,254,61
"March 3rd, 2020 Joint Primary",1,4161,651,111,103,8
"March 3rd, 2020 Joint Primary",1,4162,2429,406,278,128
"March 3rd, 2020 Joint Primary",1,4163,2188,401,305,96
"March 3rd, 2020 Joint Primary",1,4164,2382,492,268,224
"March 3rd, 2020 Joint Primary",1,4165,137,28,13,15
"March 3rd, 2020 Joint Primary",1,4166,340,57,41,16
"March 3rd, 2020 Joint Primary",1,4167,56,10,5,5
"March 3rd, 2020 Joint Primary",1,4168,2439,367,266,101
"March 3rd, 2020 Joint Primary",1,4169,343,87,44,43
"March 3rd, 2020 Joint Primary",1,4170,457,68,49,19
"March 3rd, 2020 Joint Primary",1,4171,1201,319,189,130
"March 3rd, 2020 Joint Primary",1,4172,1397,271,160,111
"March 3rd, 2020 Joint Primary",1,4173,1626,372,233,139
"March 3rd, 2020 Joint Primary",1,4174,1426,233,158,75
"March 3rd, 2020 Joint Primary",1,4175,0,0,0,0
"March 3rd, 2020 Joint Primary",1,4176,937,267,150,117
"March 3rd, 2020 Joint Primary",1,4177,41,7,7,0
"March 3rd, 2020 Joint Primary",1,4178,3,1,1,0
"March 3rd, 2020 Joint Primary",1,4179,2829,667,419,248
"March 3rd, 2020 Joint Primary",1,4180,1,0,0,0
"March 3rd, 2020 Joint Primary",1,4181,3,1,0,1
"March 3rd, 2020 Joint Primary",1,4182,0,0,0,0
"March 3rd, 2020 Joint Primary",1,4183,76,30,28,2
"March 3rd, 2020 Joint Primary",1,4184,30,6,6,0
"March 3rd, 2020 Joint Primary",1,4185,1,1,0,1
"March 3rd, 2020 Joint Primary",1,4186,90,36,34,2
"March 3rd, 2020 Joint Primary",1,4187,0,0,0,0
"March 3rd, 2020 Joint Primary",1,4188,0,0,0,0
"March 3rd, 2020 Joint Primary",1,4189,929,119,95,24
"March 3rd, 2020 Joint Primary",1,4190,5,0,0,0
"March 3rd, 2020 Joint Primary",1,4191,3,0,0,0
"March 3rd, 2020 Joint Primary",1,4192,0,0,0,0
"March 3rd, 2020 Joint Primary",1,4193,80,4,4,0
"March 3rd, 2020 Joint Primary",1,4194,980,126,81,45
"March 3rd, 2020 Joint Primary",1,4195,0,0,0,0
"March 3rd, 2020 Joint Primary",1,4196,0,0,0,0
"March 3rd, 2020 Joint Primary",1,4197,4,0,0,0
"March 3rd, 2020 Joint Primary",1,4198,1733,262,212,50
"March 3rd, 2020 Joint Primary",1,4199,1305,179,135,44
"March 3rd, 2020 Joint Primary",1,4200,2603,585,445,140
"March 3rd, 2020 Joint Primary",1,4201,25,2,0,2
"March 3rd, 2020 Joint Primary",1,4202,0,0,0,0
"March 3rd, 2020 Joint Primary",1,4203,341,119,110,9
"March 3rd, 2020 Joint Primary",1,4204,6,0,0,0
"March 3rd, 2020 Joint Primary",1,4205,138,27,19,8
"March 3rd, 2020 Joint Primary",1,4206,544,72,49,23
"March 3rd, 2020 Joint Primary",1,4207,0,0,0,0
"March 3rd, 2020 Joint Primary",1,4208,0,0,0,0
"March 3rd, 2020 Joint Primary",1,4209,63,10,3,7
"March 3rd, 2020 Joint Primary",1,4210,16,4,3,1
"March 3rd, 2020 Joint Primary",1,4211,34,13,13,0
"March 3rd, 2020 Joint Primary",1,4212,0,0,0,0
"March 3rd, 2020 Joint Primary",1,4213,0,0,0,0
"March 3rd, 2020 Joint Primary",1,5020,0,16,12,4
"March 3rd, 2020 Joint Primary",1,5021,0,21,15,6
"March 3rd, 2020 Joint Primary",1,5023,0,6,5,1
"March 3rd, 2020 Joint Primary",1,5028,0,3,3,0
"March 3rd, 2020 Joint Primary",1,5035,0,7,6,1
"March 3rd, 2020 Joint Primary",1,6001,0,1,0,1
"March 3rd, 2020 Joint Primary",1,6002,0,0,0,0
"March 3rd, 2020 Joint Primary",1,6003,0,0,0,0
"March 3rd, 2020 Joint Primary",1,6004,0,0,0,0
"March 3rd, 2020 Joint Primary",1,6005,0,131,110,21
"March 3rd, 2020 Joint Primary",1,6006,0,0,0,0
"March 3rd, 2020 Joint Primary",1,6007,0,0,0,0
"March 3rd, 2020 Joint Primary",1,6008,0,0,0,0
"March 3rd, 2020 Joint Primary",1,6009,0,0,0,0
"March 3rd, 2020 Joint Primary",1,6010,0,2,2,0
"March 3rd, 2020 Joint Primary",1,6011,0,3,3,0
"March 3rd, 2020 Joint Primary",1,6012,0,0,0,0
"March 3rd, 2020 Joint Primary",1,6013,0,2,2,0
"March 3rd, 2020 Joint Primary",1,6014,0,0,0,0
"March 3rd, 2020 Joint Primary",1,6015,0,0,0,0
"March 3rd, 2020 Joint Primary",1,6016,0,0,0,0
"March 3rd, 2020 Joint Primary",1,6017,0,0,0,0
"March 3rd, 2020 Joint Primary",1,6018,0,10,8,2
"March 3rd, 2020 Joint Primary",1,6019,0,0,0,0
"March 3rd, 2020 Joint Primary",1,6020,0,0,0,0
"March 3rd, 2020 Joint Primary",1,6021,0,1,1,0
"March 3rd, 2020 Joint Primary",1,6022,0,0,0,0
"March 3rd, 2020 Joint Primary",1,6023,0,0,0,0
"March 3rd, 2020 Joint Primary",1,6024,0,0,0,0
"March 3rd, 2020 Joint Primary",1,6025,0,1,1,0
"March 3rd, 2020 Joint Primary",1,6026,0,2,2,0
"July 14th, 2020 Joint Primary Runoff",2,1001,774,135,128,7
"July 14th, 2020 Joint Primary Runoff",2,1002,670,55,40,15
"July 14th, 2020 Joint Primary Runoff",2,1003,"2,190",246,223,23
"July 14th, 2020 Joint Primary Runoff",2,1004,926,96,91,5
"July 14th, 2020 Joint Primary Runoff",2,1005,837,66,58,8
"July 14th, 2020 Joint Primary Runoff",2,1006,"2,155",206,173,33
"July 14th, 2020 Joint Primary Runoff",2,1007,"1,305",149,133,16
"July 14th, 2020 Joint Primary Runoff",2,1008,"1,895",316,310,6
"July 14th, 2020 Joint Primary Runoff",2,1009,"1,667",116,71,45
"July 14th, 2020 Joint Primary Runoff",2,1010,627,80,77,3
"July 14th, 2020 Joint Primary Runoff",2,1011,560,52,46,6
"July 14th, 2020 Joint Primary Runoff",2,1012,"2,237",205,138,67
"July 14th, 2020 Joint Primary Runoff",2,1013,"2,522",228,200,28
"July 14th, 2020 Joint Primary Runoff",2,1014,"1,413",80,75,5
"July 14th, 2020 Joint Primary Runoff",2,1015,"1,474",83,69,14
"July 14th, 2020 Joint Primary Runoff",2,1016,"1,255",84,75,9
"July 14th, 2020 Joint Primary Runoff",2,1017,223,23,17,6
"July 14th, 2020 Joint Primary Runoff",2,1018,"2,424",184,157,27
"July 14th, 2020 Joint Primary Runoff",2,1019,901,97,87,10
"July 14th, 2020 Joint Primary Runoff",2,1020,"2,366",242,202,40
"July 14th, 2020 Joint Primary Runoff",2,1021,"1,739",166,148,18
"July 14th, 2020 Joint Primary Runoff",2,1022,978,74,59,15
"July 14th, 2020 Joint Primary Runoff",2,1023,"2,657",156,138,18
"July 14th, 2020 Joint Primary Runoff",2,1024,"3,185",297,200,97
"July 14th, 2020 Joint Primary Runoff",2,1025,775,30,27,3
"July 14th, 2020 Joint Primary Runoff",2,1026,"1,323",93,80,13
"July 14th, 2020 Joint Primary Runoff",2,1027,360,12,6,6
"July 14th, 2020 Joint Primary Runoff",2,1028,"1,013",71,62,9
"July 14th, 2020 Joint Primary Runoff",2,1029,"2,003",132,112,20
"July 14th, 2020 Joint Primary Runoff",2,1030,78,2,2,0
"July 14th, 2020 Joint Primary Runoff",2,1031,"1,548",98,81,17
"July 14th, 2020 Joint Primary Runoff",2,1032,"2,519",124,114,10
"July 14th, 2020 Joint Primary Runoff",2,1033,"2,163",113,80,33
"July 14th, 2020 Joint Primary Runoff",2,1034,"3,900",365,239,126
"July 14th, 2020 Joint Primary Runoff",2,1035,"1,040",23,17,6
"July 14th, 2020 Joint Primary Runoff",2,1036,"3,638",340,213,127
"July 14th, 2020 Joint Primary Runoff",2,1037,"2,567",202,161,41
"July 14th, 2020 Joint Primary Runoff",2,1038,"3,083",271,200,71
