election,precinct,registered,cast,democrat,republican
"March 3rd, 2020 Joint Primary",1001,773,284,266,18
"March 3rd, 2020 Joint Primary",1002,661,134,107,27
"March 3rd, 2020 Joint Primary",1003,2162,547,494,53
"March 3rd, 2020 Joint Primary",1004,917,192,174,18
"March 3rd, 2020 Joint Primary",1005,834,143,123,20
"March 3rd, 2020 Joint Primary",1006,2134,421,350,71
"March 3rd, 2020 Joint Primary",1007,1303,284,243,41
"March 3rd, 2020 Joint Primary",1008,1871,610,560,50
"March 3rd, 2020 Joint Primary",1009,1657,287,209,78
"March 3rd, 2020 Joint Primary",1010,624,185,167,18
"March 3rd, 2020 Joint Primary",1011,558,92,78,14
"March 3rd, 2020 Joint Primary",1012,2211,408,314,94
"March 3rd, 2020 Joint Primary",1013,2516,479,423,56
"March 3rd, 2020 Joint Primary",1014,1394,200,176,24
"March 3rd, 2020 Joint Primary",1015,1466,193,170,23
"March 3rd, 2020 Joint Primary",1016,1250,210,187,23
"March 3rd, 2020 Joint Primary",1017,213,46,34,12
"March 3rd, 2020 Joint Primary",1018,2403,419,352,67
"March 3rd, 2020 Joint Primary",1019,891,176,149,27
"March 3rd, 2020 Joint Primary",1020,2350,494,398,96
"March 3rd, 2020 Joint Primary",1021,1726,329,289,40
"March 3rd, 2020 Joint Primary",1022,976,161,136,25
"March 3rd, 2020 Joint Primary",1023,2639,392,348,44
"March 3rd, 2020 Joint Primary",1024,3174,661,474,187
"March 3rd, 2020 Joint Primary",1025,769,79,71,8
"March 3rd, 2020 Joint Primary",1026,1315,214,183,31
"March 3rd, 2020 Joint Primary",1027,345,58,36,22
"March 3rd, 2020 Joint Primary",1028,1000,192,162,30
"March 3rd, 2020 Joint Primary",1029,2004,349,293,56
"March 3rd, 2020 Joint Primary",1030,70,6,5,1
"March 3rd, 2020 Joint Primary",1031,1553,254,225,29
"March 3rd, 2020 Joint Primary",1032,2528,377,342,35
"March 3rd, 2020 Joint Primary",1033,2160,288,211,77
"March 3rd, 2020 Joint Primary",1034,3768,761,505,256
"March 3rd, 2020 Joint Primary",1035,1022,78,46,32
"March 3rd, 2020 Joint Primary",1036,3603,619,424,195
"March 3rd, 2020 Joint Primary",1037,2558,413,330,83
"March 3rd, 2020 Joint Primary",1038,3039,599,446,153
"March 3rd, 2020 Joint Primary",1039,3235,344,294,50
"March 3rd, 2020 Joint Primary",1040,2847,420,366,54
"March 3rd, 2020 Joint Primary",1041,2405,335,289,46
"March 3rd, 2020 Joint Primary",1042,1193,193,167,26
"March 3rd, 2020 Joint Primary",1043,1552,269,194,75
"March 3rd, 2020 Joint Primary",1044,2099,419,354,65
"March 3rd, 2020 Joint Primary",1045,3329,590,483,107
"March 3rd, 2020 Joint Primary",1046,2083,402,350,52
"March 3rd, 2020 Joint Primary",1047,1787,307,261,46
"March 3rd, 2020 Joint Primary",1048,2261,427,348,79
"March 3rd, 2020 Joint Primary",1049,2630,494,402,92
"March 3rd, 2020 Joint Primary",1050,1393,282,227,55
"March 3rd, 2020 Joint Primary",1051,2077,441,319,122
"March 3rd, 2020 Joint Primary",1052,2081,375,297,78
"March 3rd, 2020 Joint Primary",1053,258,54,49,5
"March 3rd, 2020 Joint Primary",1054,2468,535,455,80
"March 3rd, 2020 Joint Primary",1055,1957,461,323,138
"March 3rd, 2020 Joint Primary",1056,3094,587,456,131
"March 3rd, 2020 Joint Primary",1057,2385,344,212,132
"March 3rd, 2020 Joint Primary",1058,2725,437,267,170
"March 3rd, 2020 Joint Primary",1059,474,77,60,17
"March 3rd, 2020 Joint Primary",1060,2942,456,388,68
"March 3rd, 2020 Joint Primary",1061,2754,349,290,59
"March 3rd, 2020 Joint Primary",1062,186,19,7,12
"March 3rd, 2020 Joint Primary",1063,2152,323,178,145
"March 3rd, 2020 Joint Primary",1064,1307,190,115,75
"March 3rd, 2020 Joint Primary",1065,2344,428,250,178
"March 3rd, 2020 Joint Primary",1066,811,114,78,36
"March 3rd, 2020 Joint Primary",1067,3111,539,258,281
"March 3rd, 2020 Joint Primary",1068,1780,196,136,60
"March 3rd, 2020 Joint Primary",1069,471,156,99,57
"March 3rd, 2020 Joint Primary",1070,1196,185,134,51
"March 3rd, 2020 Joint Primary",1071,1960,379,276,103
"March 3rd, 2020 Joint Primary",1072,2083,390,309,81
"March 3rd, 2020 Joint Primary",1073,3560,644,450,194
"March 3rd, 2020 Joint Primary",1074,19,1,1,0
"March 3rd, 2020 Joint Primary",1075,2337,317,265,52
"March 3rd, 2020 Joint Primary",1076,2908,576,407,169
"March 3rd, 2020 Joint Primary",1077,1660,356,319,37
"March 3rd, 2020 Joint Primary",1078,516,97,88,9
"March 3rd, 2020 Joint Primary",1079,2557,440,356,84
"March 3rd, 2020 Joint Primary",1080,4647,701,568,133
"March 3rd, 2020 Joint Primary",1081,1733,591,210,381
"March 3rd, 2020 Joint Primary",1082,4612,813,632,181
"March 3rd, 2020 Joint Primary",1083,2716,663,474,189
"March 3rd, 2020 Joint Primary",1084,2119,318,248,70
"March 3rd, 2020 Joint Primary",1085,1743,273,222,51
"March 3rd, 2020 Joint Primary",1086,2443,543,426,117
"March 3rd, 2020 Joint Primary",1087,1643,244,192,52
"March 3rd, 2020 Joint Primary",1088,999,151,136,15
"March 3rd, 2020 Joint Primary",1089,1513,334,232,102
"March 3rd, 2020 Joint Primary",1090,0,0,0,0
"March 3rd, 2020 Joint Primary",1091,2236,457,355,102
"March 3rd, 2020 Joint Primary",1092,1094,143,116,27
"March 3rd, 2020 Joint Primary",1093,1131,229,171,58
"March 3rd, 2020 Joint Primary",1094,2309,377,290,87
"March 3rd, 2020 Joint Primary",1095,350,32,21,11
"March 3rd, 2020 Joint Primary",1096,92,15,11,4
"March 3rd, 2020 Joint Primary",1097,841,141,107,34
"March 3rd, 2020 Joint Primary",1098,887,160,145,15
"March 3rd, 2020 Joint Primary",1099,2822,674,495,179
"March 3rd, 2020 Joint Primary",1100,2705,563,398,165
"March 3rd, 2020 Joint Primary",1101,0,0,0,0
"March 3rd, 2020 Joint Primary",1102,1006,158,85,73
"March 3rd, 2020 Joint Primary",1103,685,89,50,39
"March 3rd, 2020 Joint Primary",1104,3105,798,565,233
"March 3rd, 2020 Joint Primary",1105,694,100,74,26
"March 3rd, 2020 Joint Primary",1106,0,0,0,0
"March 3rd, 2020 Joint Primary",1107,3077,462,318,144
"March 3rd, 2020 Joint Primary",1108,4553,1064,718,346
"March 3rd, 2020 Joint Primary",1109,3,0,0,0
"March 3rd, 2020 Joint Primary",1110,2687,441,316,125
"March 3rd, 2020 Joint Primary",1111,4821,1079,761,318
"March 3rd, 2020 Joint Primary",1112,4561,715,540,175
"March 3rd, 2020 Joint Primary",1113,2919,559,422,137
"March 3rd, 2020 Joint Primary",1114,17,4,2,2
"March 3rd, 2020 Joint Primary",1115,213,42,23,19
"March 3rd, 2020 Joint Primary",1116,1263,276,174,102
"March 3rd, 2020 Joint Primary",1117,367,77,54,23
"March 3rd, 2020 Joint Primary",1118,3308,673,429,244
"March 3rd, 2020 Joint Primary",1119,132,19,16,3
"March 3rd, 2020 Joint Primary",1120,143,20,19,1
"March 3rd, 2020 Joint Primary",1121,3303,650,461,189
"March 3rd, 2020 Joint Primary",1122,4402,1022,701,321
"March 3rd, 2020 Joint Primary",1123,582,117,69,48
"March 3rd, 2020 Joint Primary",1124,778,134,99,35
"March 3rd, 2020 Joint Primary",1125,2071,434,287,147
"March 3rd, 2020 Joint Primary",1126,0,0,0,0
"March 3rd, 2020 Joint Primary",1127,622,106,91,15
"March 3rd, 2020 Joint Primary",1128,1462,189,133,56
"March 3rd, 2020 Joint Primary",1129,1603,462,327,135
"March 3rd, 2020 Joint Primary",1130,0,0,0,0
"March 3rd, 2020 Joint Primary",1131,0,0,0,0
"March 3rd, 2020 Joint Primary",1132,2,0,0,0
"March 3rd, 2020 Joint Primary",1133,4,0,0,0
"March 3rd, 2020 Joint Primary",1134,0,0,0,0
"March 3rd, 2020 Joint Primary",1135,1,0,0,0
"March 3rd, 2020 Joint Primary",1136,99,15,11,4
"March 3rd, 2020 Joint Primary",1137,0,0,0,0
"March 3rd, 2020 Joint Primary",1138,890,99,86,13
"March 3rd, 2020 Joint Primary",1139,917,173,138,35
"March 3rd, 2020 Joint Primary",1140,1204,188,141,47
"March 3rd, 2020 Joint Primary",1141,2035,337,251,86
"March 3rd, 2020 Joint Primary",1142,2090,277,205,72
"March 3rd, 2020 Joint Primary",1143,3188,591,395,196
"March 3rd, 2020 Joint Primary",1144,2417,1165,538,627
"March 3rd, 2020 Joint Primary",1145,719,186,97,89
"March 3rd, 2020 Joint Primary",1146,176,31,21,10
"March 3rd, 2020 Joint Primary",1147,2584,483,368,115
"March 3rd, 2020 Joint Primary",1148,883,103,78,25
"March 3rd, 2020 Joint Primary",1149,2173,501,372,129
"March 3rd, 2020 Joint Primary",1150,2431,415,265,150
"March 3rd, 2020 Joint Primary",1151,2081,412,293,119
"March 3rd, 2020 Joint Primary",2001,926,122,109,13
"March 3rd, 2020 Joint Primary",2002,1211,193,176,17
"March 3rd, 2020 Joint Primary",2003,2157,323,281,42
"March 3rd, 2020 Joint Primary",2004,2897,380,343,37
"March 3rd, 2020 Joint Primary",2005,915,242,217,25
"March 3rd, 2020 Joint Primary",2006,20,3,3,0
"March 3rd, 2020 Joint Primary",2007,1707,263,232,31
"March 3rd, 2020 Joint Primary",2008,1101,166,153,13
"March 3rd, 2020 Joint Primary",2009,2244,341,285,56
"March 3rd, 2020 Joint Primary",2010,1564,333,244,89
"March 3rd, 2020 Joint Primary",2011,2051,301,277,24
"March 3rd, 2020 Joint Primary",2012,1568,228,197,31
"March 3rd, 2020 Joint Primary",2013,1161,300,265,35
"March 3rd, 2020 Joint Primary",2014,1220,255,210,45
"March 3rd, 2020 Joint Primary",2015,1928,225,203,22
"March 3rd, 2020 Joint Primary",2016,1323,141,129,12
"March 3rd, 2020 Joint Primary",2017,1193,117,110,7
"March 3rd, 2020 Joint Primary",2018,1110,271,234,37
"March 3rd, 2020 Joint Primary",2019,1797,231,206,25
"March 3rd, 2020 Joint Primary",2020,2782,430,390,40
"March 3rd, 2020 Joint Primary",2021,2787,385,337,48
"March 3rd, 2020 Joint Primary",2022,1575,219,199,20
"March 3rd, 2020 Joint Primary",2023,2857,595,524,71
"March 3rd, 2020 Joint Primary",2024,1874,358,295,63
"March 3rd, 2020 Joint Primary",2025,2457,629,522,107
"March 3rd, 2020 Joint Primary",2026,2147,643,510,133
"March 3rd, 2020 Joint Primary",2027,1233,436,358,78
"March 3rd, 2020 Joint Primary",2028,2238,748,603,145
"March 3rd, 2020 Joint Primary",2029,1324,183,153,30
"March 3rd, 2020 Joint Primary",2030,1533,240,211,29
"March 3rd, 2020 Joint Primary",2031,1653,215,189,26
"March 3rd, 2020 Joint Primary",2032,516,98,89,9
"March 3rd, 2020 Joint Primary",2033,1335,108,91,17
"March 3rd, 2020 Joint Primary",2034,1578,113,101,12
"March 3rd, 2020 Joint Primary",2035,1338,519,458,61
"March 3rd, 2020 Joint Primary",2036,1527,730,603,127
"March 3rd, 2020 Joint Primary",2037,1498,423,264,159
"March 3rd, 2020 Joint Primary",2038,1220,442,341,101
"March 3rd, 2020 Joint Primary",2039,1358,391,353,38
"March 3rd, 2020 Joint Primary",2040,2522,603,475,128
"March 3rd, 2020 Joint Primary",2041,2811,621,508,113
"March 3rd, 2020 Joint Primary",2042,1733,289,246,43
"March 3rd, 2020 Joint Primary",2043,2247,329,275,54
"March 3rd, 2020 Joint Primary",2044,2584,281,237,44
"March 3rd, 2020 Joint Primary",2045,1962,801,708,93
"March 3rd, 2020 Joint Primary",2046,2047,734,627,107
"March 3rd, 2020 Joint Primary",2047,1603,508,433,75
"March 3rd, 2020 Joint Primary",2048,1786,292,252,40
"March 3rd, 2020 Joint Primary",2049,2992,600,491,109
"March 3rd, 2020 Joint Primary",2050,1770,498,397,101
"March 3rd, 2020 Joint Primary",2051,626,129,114,15
"March 3rd, 2020 Joint Primary",2052,1014,178,161,17
"March 3rd, 2020 Joint Primary",2053,1265,257,222,35
"March 3rd, 2020 Joint Primary",2054,1979,622,556,66
"March 3rd, 2020 Joint Primary",2055,2157,728,666,62
"March 3rd, 2020 Joint Primary",2056,1422,314,273,41
"March 3rd, 2020 Joint Primary",2057,2323,417,348,69
"March 3rd, 2020 Joint Primary",2058,2255,399,341,58
"March 3rd, 2020 Joint Primary",2059,2254,493,399,94
"March 3rd, 2020 Joint Primary",2060,1474,370,307,63
"March 3rd, 2020 Joint Primary",2061,1087,243,180,63
"March 3rd, 2020 Joint Primary",2062,1169,314,235,79
"March 3rd, 2020 Joint Primary",2063,1819,543,277,266
"March 3rd, 2020 Joint Primary",2064,2348,561,417,144
"March 3rd, 2020 Joint Primary",2065,4789,824,610,214
"March 3rd, 2020 Joint Primary",2066,3643,1111,725,386
"March 3rd, 2020 Joint Primary",2067,271,91,81,10
"March 3rd, 2020 Joint Primary",2068,4040,1058,694,364
"March 3rd, 2020 Joint Primary",2069,3020,668,493,175
"March 3rd, 2020 Joint Primary",2070,2127,339,316,23
"March 3rd, 2020 Joint Primary",2071,893,110,96,14
"March 3rd, 2020 Joint Primary",2072,3165,762,520,242
"March 3rd, 2020 Joint Primary",2073,1234,243,192,51
"March 3rd, 2020 Joint Primary",2074,1134,134,112,22
"March 3rd, 2020 Joint Primary",2075,1109,153,139,14
"March 3rd, 2020 Joint Primary",2076,2350,577,368,209
"March 3rd, 2020 Joint Primary",2077,2299,626,420,206
"March 3rd, 2020 Joint Primary",2078,2578,477,351,126
"March 3rd, 2020 Joint Primary",2079,699,90,81,9
"March 3rd, 2020 Joint Primary",2080,1398,278,216,62
"March 3rd, 2020 Joint Primary",2081,864,195,151,44
"March 3rd, 2020 Joint Primary",2082,1568,331,252,79
"March 3rd, 2020 Joint Primary",2083,725,264,226,38
"March 3rd, 2020 Joint Primary",2084,3299,1078,581,497
"March 3rd, 2020 Joint Primary",2085,1449,328,255,73
"March 3rd, 2020 Joint Primary",2086,3212,882,606,276
"March 3rd, 2020 Joint Primary",2087,1818,573,351,222
"March 3rd, 2020 Joint Primary",2088,3780,876,632,244
"March 3rd, 2020 Joint Primary",2089,543,80,72,8
"March 3rd, 2020 Joint Primary",2090,2078,385,308,77
"March 3rd, 2020 Joint Primary",2091,3054,587,474,113
"March 3rd, 2020 Joint Primary",2092,481,107,76,31
"March 3rd, 2020 Joint Primary",2093,1434,246,184,62
"March 3rd, 2020 Joint Primary",2094,149,62,50,12
"March 3rd, 2020 Joint Primary",2095,2295,649,341,308
"March 3rd, 2020 Joint Primary",2096,2403,440,358,82
"March 3rd, 2020 Joint Primary",2097,2548,565,407,158
"March 3rd, 2020 Joint Primary",2098,1509,287,195,92
"March 3rd, 2020 Joint Primary",2099,1539,425,260,165
"March 3rd, 2020 Joint Primary",2100,1319,266,205,61
"March 3rd, 2020 Joint Primary",2101,1455,332,210,122
"March 3rd, 2020 Joint Primary",2102,2574,732,486,246
"March 3rd, 2020 Joint Primary",2103,317,38,36,2
"March 3rd, 2020 Joint Primary",2104,273,59,53,6
"March 3rd, 2020 Joint Primary",2105,606,94,85,9
"March 3rd, 2020 Joint Primary",2106,581,91,71,20
"March 3rd, 2020 Joint Primary",2107,3216,544,385,159
"March 3rd, 2020 Joint Primary",2108,1130,366,212,154
"March 3rd, 2020 Joint Primary",2109,1,0,0,0
"March 3rd, 2020 Joint Primary",2110,1270,316,216,100
"March 3rd, 2020 Joint Primary",2111,1204,220,185,35
"March 3rd, 2020 Joint Primary",2112,1730,473,324,149
"March 3rd, 2020 Joint Primary",2113,102,17,12,5
"March 3rd, 2020 Joint Primary",2114,2385,443,330,113
"March 3rd, 2020 Joint Primary",2115,4991,1152,694,458
"March 3rd, 2020 Joint Primary",2116,0,0,0,0
"March 3rd, 2020 Joint Primary",2117,654,129,114,15
"March 3rd, 2020 Joint Primary",2118,32,10,10,0
"March 3rd, 2020 Joint Primary",2119,321,65,62,3
"March 3rd, 2020 Joint Primary",2120,1583,360,235,125
"March 3rd, 2020 Joint Primary",2121,536,101,77,24
"March 3rd, 2020 Joint Primary",2122,1706,282,241,41
"March 3rd, 2020 Joint Primary",2123,2104,471,283,188
"March 3rd, 2020 Joint Primary",2124,597,206,151,55
"March 3rd, 2020 Joint Primary",2125,2494,587,371,216
"March 3rd, 2020 Joint Primary",2126,1559,287,202,85
"March 3rd, 2020 Joint Primary",2127,2606,683,448,235
"March 3rd, 2020 Joint Primary",2128,2511,305,266,39
"March 3rd, 2020 Joint Primary",2129,0,0,0,0
"March 3rd, 2020 Joint Primary",2130,2009,517,386,131
"March 3rd, 2020 Joint Primary",2131,445,96,82,14
"March 3rd, 2020 Joint Primary",2132,3,0,0,0
"March 3rd, 2020 Joint Primary",2133,338,93,57,36
"March 3rd, 2020 Joint Primary",2134,1597,216,165,51
"March 3rd, 2020 Joint Primary",2135,742,143,112,31
"March 3rd, 2020 Joint Primary",2136,4053,895,625,270
"March 3rd, 2020 Joint Primary",2137,1202,323,246,77
"March 3rd, 2020 Joint Primary",2138,1058,233,169,64
"March 3rd, 2020 Joint Primary",2139,1909,518,313,205
"March 3rd, 2020 Joint Primary",2140,1733,337,246,91
"March 3rd, 2020 Joint Primary",2141,1381,377,261,116
"March 3rd, 2020 Joint Primary",2142,706,105,85,20
"March 3rd, 2020 Joint Primary",2143,2210,552,380,172
"March 3rd, 2020 Joint Primary",2144,1871,536,406,130
"March 3rd, 2020 Joint Primary",2145,336,96,55,41
"March 3rd, 2020 Joint Primary",2146,94,20,16,4
"March 3rd, 2020 Joint Primary",2147,642,95,60,35
"March 3rd, 2020 Joint Primary",2148,3752,751,611,140
"March 3rd, 2020 Joint Primary",2149,2237,385,306,79
"March 3rd, 2020 Joint Primary",2150,8,0,0,0
"March 3rd, 2020 Joint Primary",2151,62,2,1,1
"March 3rd, 2020 Joint Primary",2152,681,113,95,18
"March 3rd, 2020 Joint Primary",2153,398,67,52,15
"March 3rd, 2020 Joint Primary",2154,3679,688,484,204
"March 3rd, 2020 Joint Primary",2155,0,1,0,1
"March 3rd, 2020 Joint Primary",2156,1302,283,236,47
"March 3rd, 2020 Joint Primary",2157,0,1,1,0
"March 3rd, 2020 Joint Primary",2158,0,0,0,0
"March 3rd, 2020 Joint Primary",2159,197,41,31,10
"March 3rd, 2020 Joint Primary",2160,7,5,3,2
"March 3rd, 2020 Joint Primary",3001,3454,804,440,364
"March 3rd, 2020 Joint Primary",3002,2399,700,443,257
"March 3rd, 2020 Joint Primary",3003,69,26,11,15
"March 3rd, 2020 Joint Primary",3004,0,1,1,0
"March 3rd, 2020 Joint Primary",3005,2668,680,299,381
"March 3rd, 2020 Joint Primary",3006,1064,386,215,171
"March 3rd, 2020 Joint Primary",3007,3056,700,410,290
"March 3rd, 2020 Joint Primary",3008,95,29,17,12
"March 3rd, 2020 Joint Primary",3009,12,2,0,2
"March 3rd, 2020 Joint Primary",3010,662,110,91,19
"March 3rd, 2020 Joint Primary",3011,941,387,248,139
"March 3rd, 2020 Joint Primary",3012,1100,282,127,155
"March 3rd, 2020 Joint Primary",3013,1820,589,390,199
"March 3rd, 2020 Joint Primary",3014,564,167,97,70
"March 3rd, 2020 Joint Primary",3015,1011,318,224,94
"March 3rd, 2020 Joint Primary",3016,205,71,38,33
"March 3rd, 2020 Joint Primary",3017,2382,724,286,438
"March 3rd, 2020 Joint Primary",3018,1788,646,419,227
"March 3rd, 2020 Joint Primary",3019,713,157,121,36
"March 3rd, 2020 Joint Primary",3020,2585,906,663,243
"March 3rd, 2020 Joint Primary",3021,2338,826,373,453
"March 3rd, 2020 Joint Primary",3022,1561,603,401,202
"March 3rd, 2020 Joint Primary",3023,2475,688,458,230
"March 3rd, 2020 Joint Primary",3024,0,0,0,0
"March 3rd, 2020 Joint Primary",3025,1697,555,387,168
"March 3rd, 2020 Joint Primary",3026,1468,483,312,171
"March 3rd, 2020 Joint Primary",3027,1466,520,301,219
"March 3rd, 2020 Joint Primary",3028,2118,454,258,196
"March 3rd, 2020 Joint Primary",3029,1265,361,246,115
"March 3rd, 2020 Joint Primary",3030,2154,763,413,350
"March 3rd, 2020 Joint Primary",3031,23,12,10,2
"March 3rd, 2020 Joint Primary",3032,2231,489,370,119
"March 3rd, 2020 Joint Primary",3033,2169,613,246,367
"March 3rd, 2020 Joint Primary",3034,2607,883,253,630
"March 3rd, 2020 Joint Primary",3035,815,246,157,89
"March 3rd, 2020 Joint Primary",3036,4273,884,653,231
"March 3rd, 2020 Joint Primary",3037,2832,857,527,330
"March 3rd, 2020 Joint Primary",3038,1203,450,278,172
"March 3rd, 2020 Joint Primary",3039,4332,841,398,443
"March 3rd, 2020 Joint Primary",3040,2100,611,355,256
"March 3rd, 2020 Joint Primary",3041,528,203,120,83
"March 3rd, 2020 Joint Primary",3042,2313,650,326,324
"March 3rd, 2020 Joint Primary",3043,2792,705,286,419
"March 3rd, 2020 Joint Primary",3044,1523,416,266,150
"March 3rd, 2020 Joint Primary",3045,1584,528,262,266
"March 3rd, 2020 Joint Primary",3046,1461,544,358,186
"March 3rd, 2020 Joint Primary",3047,1753,687,451,236
"March 3rd, 2020 Joint Primary",3048,1599,641,411,230
"March 3rd, 2020 Joint Primary",3049,2105,798,467,331
"March 3rd, 2020 Joint Primary",3050,1145,389,216,173
"March 3rd, 2020 Joint Primary",3051,355,127,54,73
"March 3rd, 2020 Joint Primary",3052,4848,1043,554,489
"March 3rd, 2020 Joint Primary",3053,1967,603,362,241
"March 3rd, 2020 Joint Primary",3054,1677,508,379,129
"March 3rd, 2020 Joint Primary",3055,2999,736,287,449
"March 3rd, 2020 Joint Primary",3056,2272,448,339,109
"March 3rd, 2020 Joint Primary",3057,596,205,125,80
"March 3rd, 2020 Joint Primary",3058,3589,782,556,226
"March 3rd, 2020 Joint Primary",3059,1977,430,206,224
"March 3rd, 2020 Joint Primary",3060,1927,608,383,225
"March 3rd, 2020 Joint Primary",3061,2058,467,313,154
"March 3rd, 2020 Joint Primary",3062,41,8,3,5
"March 3rd, 2020 Joint Primary",3063,1887,661,394,267
"March 3rd, 2020 Joint Primary",3064,409,148,93,55
"March 3rd, 2020 Joint Primary",3065,79,15,15,0
"March 3rd, 2020 Joint Primary",3066,1918,684,420,264
